second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 708
10, 1444
11, 1746
12, 1812
13, 1576
14, 1312
15, 1680
16, 1274
17, 1812
18, 1510
19, 1812
20, 1444
21, 1812
22, 1374
23, 1410
24, 1510
25, 1746
26, 1510
27, 1576
28, 1312
29, 368
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 815
45, 1141
46, 978
47, 978
48, 815
49, 815
50, 978
51, 978
52, 749
53, 1044
54, 749
55, 881
56, 912
57, 718
58, 978
59, 652
60, 912
61, 718
62, 978
63, 749
64, 881
65, 326
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 388
78, 485
79, 582
80, 485
81, 582
82, 582
83, 582
84, 582
85, 485
86, 388
87, 582
88, 485
89, 485
90, 388
91, 485
92, 485
93, 485
94, 485
95, 582
96, 388
97, 485
98, 0
99, 0
