second, bytes
0, 68
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 2508
8, 3300
9, 3630
10, 2970
11, 2640
12, 2904
13, 3300
14, 2970
15, 2970
16, 2970
17, 2970
18, 2970
19, 2970
20, 2970
21, 3630
22, 2640
23, 2970
24, 1980
25, 3300
26, 2640
27, 2640
28, 1650
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 1002
38, 2680
39, 2144
40, 2412
41, 2680
42, 2412
43, 2680
44, 2412
45, 2144
46, 2412
47, 3484
48, 2144
49, 2412
50, 2680
51, 2680
52, 2412
53, 2412
54, 2680
55, 2680
56, 2412
57, 1876
58, 2412
59, 2412
60, 1608
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 68
71, 0
72, 2020
73, 4040
74, 4444
75, 3636
76, 4040
77, 3636
78, 3232
79, 3636
80, 4040
81, 2828
82, 3636
83, 4444
84, 1212
85, 2020
86, 2020
87, 0
88, 2828
89, 4040
90, 3636
91, 3636
92, 4444
93, 3636
94, 3636
95, 3636
96, 3232
97, 2828
98, 3232
