========================================================================
Flow: 172.17.0.2:1883 -> 172.17.0.1:41428

second, bytes
0, 0
1, 0
2, 68
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 68
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 68
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 68
33, 0
34, 0
35, 0
36, 0
37, 780
38, 2754
39, 2256
40, 2538
41, 2820
42, 2538
43, 2556
44, 2736
45, 2256
46, 2538
47, 3270
48, 2388
49, 2340
50, 3018
51, 2820
52, 2538
53, 2538
54, 2820
55, 2556
56, 2538
57, 1974
58, 2340
59, 2538
60, 1890
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 134
71, 0
72, 2288
73, 4840
74, 5060
75, 4422
76, 4774
77, 4356
78, 3938
79, 4356
80, 4774
81, 3454
82, 4290
83, 4466
84, 1254
85, 2486
86, 2420
87, 0
88, 2992
89, 4444
90, 4356
91, 4158
92, 4862
93, 4356
94, 4224
95, 4356
96, 3674
97, 3388
98, 3872
========================================================================
========================================================================
Flow: 172.17.0.1:41442 -> 172.17.0.2:1883

second, bytes
0, 134
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 2768
8, 3460
9, 3806
10, 3114
11, 2768
12, 3114
13, 3460
14, 3114
15, 3114
16, 3114
17, 3114
18, 3114
19, 3114
20, 3114
21, 3806
22, 2768
23, 3114
24, 2076
25, 3460
26, 2768
27, 2768
28, 1730
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 1440
38, 4800
39, 3840
40, 4320
41, 4800
42, 4320
43, 4800
44, 4320
45, 3840
46, 4320
47, 6174
48, 3906
49, 4320
50, 4800
51, 4800
52, 4320
53, 4320
54, 4800
55, 4800
56, 4320
57, 3360
58, 4320
59, 4320
60, 2880
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 134
71, 0
72, 3740
73, 7480
74, 8030
75, 6798
76, 7414
77, 6798
78, 5984
79, 6732
80, 7414
81, 5302
82, 6732
83, 7832
84, 2178
85, 3806
86, 3740
87, 0
88, 5104
89, 7216
90, 6799
91, 6533
92, 8030
93, 6732
94, 6666
95, 6732
96, 5852
97, 5236
98, 5984
========================================================================
========================================================================
Flow: 172.17.0.2:1883 -> 172.17.0.1:41442

second, bytes
0, 68
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 2508
8, 3300
9, 3630
10, 2970
11, 2640
12, 2904
13, 3300
14, 2970
15, 2970
16, 2970
17, 2970
18, 2970
19, 2970
20, 2970
21, 3630
22, 2640
23, 2970
24, 1980
25, 3300
26, 2640
27, 2640
28, 1650
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 1002
38, 2680
39, 2144
40, 2412
41, 2680
42, 2412
43, 2680
44, 2412
45, 2144
46, 2412
47, 3484
48, 2144
49, 2412
50, 2680
51, 2680
52, 2412
53, 2412
54, 2680
55, 2680
56, 2412
57, 1876
58, 2412
59, 2412
60, 1608
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 68
71, 0
72, 2020
73, 4040
74, 4444
75, 3636
76, 4040
77, 3636
78, 3232
79, 3636
80, 4040
81, 2828
82, 3636
83, 4444
84, 1212
85, 2020
86, 2020
87, 0
88, 2828
89, 4040
90, 3636
91, 3636
92, 4444
93, 3636
94, 3636
95, 3636
96, 3232
97, 2828
98, 3232
========================================================================
========================================================================
Flow: 172.17.0.1:41428 -> 172.17.0.2:1883

second, bytes
0, 0
1, 0
2, 134
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 134
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 134
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 134
33, 0
34, 0
35, 0
36, 0
37, 672
38, 2020
39, 1616
40, 1818
41, 2020
42, 1818
43, 1818
44, 2020
45, 1616
46, 1818
47, 2424
48, 1818
49, 1616
50, 2222
51, 2020
52, 1818
53, 1818
54, 2020
55, 2020
56, 1818
57, 1414
58, 1616
59, 1818
60, 1414
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 134
71, 0
72, 2086
73, 4040
74, 4444
75, 3636
76, 4040
77, 3636
78, 3232
79, 3636
80, 4040
81, 2828
82, 3636
83, 4444
84, 1212
85, 2020
86, 2020
87, 0
88, 2828
89, 4040
90, 3636
91, 3636
92, 4444
93, 3636
94, 3636
95, 3636
96, 3232
97, 2828
98, 3232
========================================================================
